role_family,metric,direction,direction_reason,included_in_prototype_score
GK,goals_faced_90,lower_is_better,transparent metric-name rule: conceded/faced outcome is lower-is-better,True
GK,obv_pass_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
GK,pass_length,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
GK,p_pass_length,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
GK,average_x_defensive_action,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,interceptions_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,ball_recoveries_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,aerial_ratio,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,clearance_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,blocks_per_shot,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,obv_defensive_action_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,op_f3_passes_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,obv_pass_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CB,op_xgbuildup_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,obv_dribble_carry_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,op_f3_passes_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,obv_pass_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,box_cross_ratio,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,dribble_ratio,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,key_passes_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,ball_recoveries_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
FB,counterpressures_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,op_passes_90,manual_review_required,no safe automatic direction rule matched,False
MID,op_f3_passes_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,obv_dribble_carry_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,obv_pass_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,ball_recoveries_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,counterpressures_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,key_passes_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
MID,through_balls_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,obv_dribble_carry_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,dribble_ratio,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,crossing_ratio,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,key_passes_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,obv_pass_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,np_xg_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
WINGER,np_shots_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,np_xg_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,goals_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,np_shots_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,aerial_ratio,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,aerial_wins_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,op_xgchain_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
CF,op_passes_into_and_touches_inside_box_90,higher_is_better,transparent metric-name rule: action/value/output metric is higher-is-better,True
