experiment_id,title,script,notebook,main_reports,main_tables,main_figures,status,production_ready,research_only,limitations
001,StatsBomb Data Contract and Metric Universe Inventory,001_data_contract_inventory.py,001_data_contract_inventory.ipynb,001_data_contract_inventory.json;001_data_contract_inventory.md,001_dataset_row_counts.csv;001_event_raw_field_coverage.csv;001_event_type_counts.csv;001_metric_inventory.csv;001_player_season_flat_sample.csv;001_player_season_high_correlations.csv;001_player_season_missingness.csv;001_player_season_near_zero_variance.csv;001_player_season_pca_variance.csv;001_role_family_counts.csv;001_role_family_map.csv,001_event_type_counts.png;001_metric_counts_by_grain.png;001_player_season_pca_variance.png;001_role_family_counts.png;001_row_counts.png,completed_research_inventory,false,true,Local sample only; inventory does not validate production scoring.
002,Role Eligibility & Stable Metric Population,002_role_eligibility_stable_metric_population.py,002_role_eligibility_stable_metric_population.ipynb,002_role_eligibility_stable_metric_population.json;002_role_eligibility_stable_metric_population.md,002_candidate_metric_status.csv;002_metric_stability_by_role.csv;002_role_assignment_counts.csv;002_role_eligibility_summary.csv;002_role_minutes_detail.csv;002_role_resolution.csv,002_candidate_metric_status.png;002_role_assignment_counts.png;002_role_eligible_players.png;002_stable_metrics_by_role.png,completed_research_role_eligibility,false,true,Role eligibility constrained by local lineup/minutes coverage and sample size.
003,Scientific Feature Engineering & Normalization,003_feature_engineering_normalization.py,003_feature_engineering_normalization.ipynb,003_feature_engineering_normalization.json;003_feature_engineering_normalization.md,003_feature_redundancy.csv;003_latent_dimensions.csv;003_metric_clusters.csv;003_metric_statistics.csv;003_normalization_decisions.csv;003_normalization_methods.csv;003_pca_variance.csv;003_role_benchmarks.csv;003_weight_preparation.csv,003_CB_benchmark_distributions.png;003_CB_boxplots.png;003_CB_cluster_dendrogram.png;003_CB_correlation_heatmap.png;003_CB_distributions.png;003_CB_pca_variance.png;003_CB_qq_plots.png;003_CF_benchmark_distributions.png;003_CF_boxplots.png;003_CF_cluster_dendrogram.png;003_CF_correlation_heatmap.png;003_CF_distributions.png;003_CF_pca_variance.png;003_CF_qq_plots.png;003_FB_benchmark_distributions.png;003_FB_boxplots.png;003_FB_cluster_dendrogram.png;003_FB_correlation_heatmap.png;003_FB_distributions.png;003_FB_pca_variance.png;003_FB_qq_plots.png;003_GK_benchmark_distributions.png;003_GK_boxplots.png;003_GK_cluster_dendrogram.png;003_GK_correlation_heatmap.png;003_GK_distributions.png;003_GK_pca_variance.png;003_GK_qq_plots.png;003_MID_benchmark_distributions.png;003_MID_boxplots.png;003_MID_cluster_dendrogram.png;003_MID_correlation_heatmap.png;003_MID_distributions.png;003_MID_pca_variance.png;003_MID_qq_plots.png;003_WINGER_benchmark_distributions.png;003_WINGER_boxplots.png;003_WINGER_cluster_dendrogram.png;003_WINGER_correlation_heatmap.png;003_WINGER_distributions.png;003_WINGER_pca_variance.png;003_WINGER_qq_plots.png,completed_research_normalization,false,true,Normalization decisions are research decisions on a limited sample.
004,Role-Specific Weight Estimation & Prototype Score Formula,004_role_specific_weight_estimation.py,004_role_specific_weight_estimation.ipynb,004_role_specific_weight_estimation.json;004_role_specific_weight_estimation.md,004_dimension_weight_decisions.csv;004_dimension_weight_methods.csv;004_metric_direction_registry.csv;004_metric_weight_decisions.csv;004_metric_weight_methods.csv;004_normalized_feature_matrix.csv;004_prototype_dimension_scores.csv;004_prototype_role_scores.csv;004_quality_flags.csv;004_rank_instability_players.csv;004_score_sensitivity_analysis.csv,004_CB_bootstrap_uncertainty.png;004_CB_dimension_score_distributions.png;004_CB_dimension_weights.png;004_CB_method_comparison_rank_correlation_heatmap.png;004_CB_metric_weights.png;004_CB_ranking_sensitivity_heatmap.png;004_CB_role_score_distribution.png;004_CB_score_vs_minutes.png;004_CB_top20_table.png;004_CF_bootstrap_uncertainty.png;004_CF_dimension_score_distributions.png;004_CF_dimension_weights.png;004_CF_method_comparison_rank_correlation_heatmap.png;004_CF_metric_weights.png;004_CF_ranking_sensitivity_heatmap.png;004_CF_role_score_distribution.png;004_CF_score_vs_minutes.png;004_CF_top20_table.png;004_FB_bootstrap_uncertainty.png;004_FB_dimension_score_distributions.png;004_FB_dimension_weights.png;004_FB_method_comparison_rank_correlation_heatmap.png;004_FB_metric_weights.png;004_FB_ranking_sensitivity_heatmap.png;004_FB_role_score_distribution.png;004_FB_score_vs_minutes.png;004_FB_top20_table.png;004_GK_bootstrap_uncertainty.png;004_GK_dimension_score_distributions.png;004_GK_dimension_weights.png;004_GK_method_comparison_rank_correlation_heatmap.png;004_GK_metric_weights.png;004_GK_ranking_sensitivity_heatmap.png;004_GK_role_score_distribution.png;004_GK_score_vs_minutes.png;004_GK_top20_table.png;004_MID_bootstrap_uncertainty.png;004_MID_dimension_score_distributions.png;004_MID_dimension_weights.png;004_MID_method_comparison_rank_correlation_heatmap.png;004_MID_metric_weights.png;004_MID_ranking_sensitivity_heatmap.png;004_MID_role_score_distribution.png;004_MID_score_vs_minutes.png;004_MID_top20_table.png;004_WINGER_bootstrap_uncertainty.png;004_WINGER_dimension_score_distributions.png;004_WINGER_dimension_weights.png;004_WINGER_method_comparison_rank_correlation_heatmap.png;004_WINGER_metric_weights.png;004_WINGER_ranking_sensitivity_heatmap.png;004_WINGER_role_score_distribution.png;004_WINGER_score_vs_minutes.png;004_WINGER_top20_table.png,completed_research_prototype_only,false,true,Prototype weights only; small-sample shrinkage and instability flags remain.
005,Scientific Validation & Calibration,005_scientific_validation_calibration.py,005_scientific_validation_calibration.ipynb,005_scientific_validation_calibration.json;005_scientific_validation_calibration.md,,005_CB_bootstrap_distribution.png;005_CB_confidence_distribution.png;005_CB_confidence_intervals.png;005_CB_rank_stability.png;005_CB_sensitivity_tornado.png;005_CB_top_bottom_dashboard.png;005_CF_bootstrap_distribution.png;005_CF_confidence_distribution.png;005_CF_confidence_intervals.png;005_CF_rank_stability.png;005_CF_sensitivity_tornado.png;005_CF_top_bottom_dashboard.png;005_FB_bootstrap_distribution.png;005_FB_confidence_distribution.png;005_FB_confidence_intervals.png;005_FB_rank_stability.png;005_FB_sensitivity_tornado.png;005_FB_top_bottom_dashboard.png;005_GK_bootstrap_distribution.png;005_GK_confidence_distribution.png;005_GK_confidence_intervals.png;005_GK_rank_stability.png;005_GK_sensitivity_tornado.png;005_GK_top_bottom_dashboard.png;005_MID_bootstrap_distribution.png;005_MID_confidence_distribution.png;005_MID_confidence_intervals.png;005_MID_rank_stability.png;005_MID_sensitivity_tornado.png;005_MID_top_bottom_dashboard.png;005_WINGER_bootstrap_distribution.png;005_WINGER_confidence_distribution.png;005_WINGER_confidence_intervals.png;005_WINGER_rank_stability.png;005_WINGER_sensitivity_tornado.png;005_WINGER_top_bottom_dashboard.png;005_score_dendrogram.png;005_score_redundancy_heatmap.png,completed_research_validation_not_production,false,true,Validation remains research-only; expert review and full-population validation pending.
006,"Temporal, Match-Level & Cross-Competition Validation",006_temporal_cross_competition_validation.py,006_temporal_cross_competition_validation.ipynb,006_temporal_cross_competition_validation.json;006_temporal_cross_competition_validation.md,006_football_expert_review_workflow.csv;006_leave_one_competition_out.csv;006_leave_one_season_out.csv;006_match_level_score_history.csv;006_match_metric_mapping_status.csv;006_minutes_threshold_sensitivity.csv;006_population_drift_metrics.csv;006_population_drift_summary.csv;006_production_candidate_gate.csv;006_rolling_score_history.csv;006_score_calibration_curves.csv;006_season_split_score_history.csv;006_team_context_adjustment_candidates.csv;006_team_context_sensitivity.csv;006_temporal_instability_players.csv;006_temporal_stability.csv,006_CB_calibration_curve.png;006_CB_leave_one_competition_drift.png;006_CB_leave_one_season_drift.png;006_CB_match_score_history.png;006_CB_minutes_threshold_sensitivity.png;006_CB_population_drift_heatmap.png;006_CB_production_gate_summary.png;006_CB_rank_volatility.png;006_CB_rolling_stability.png;006_CB_team_context_sensitivity.png;006_CB_temporal_stability_scatter.png;006_CF_calibration_curve.png;006_CF_leave_one_competition_drift.png;006_CF_leave_one_season_drift.png;006_CF_match_score_history.png;006_CF_minutes_threshold_sensitivity.png;006_CF_population_drift_heatmap.png;006_CF_production_gate_summary.png;006_CF_rank_volatility.png;006_CF_rolling_stability.png;006_CF_team_context_sensitivity.png;006_CF_temporal_stability_scatter.png;006_FB_calibration_curve.png;006_FB_leave_one_competition_drift.png;006_FB_leave_one_season_drift.png;006_FB_match_score_history.png;006_FB_minutes_threshold_sensitivity.png;006_FB_population_drift_heatmap.png;006_FB_production_gate_summary.png;006_FB_rank_volatility.png;006_FB_rolling_stability.png;006_FB_team_context_sensitivity.png;006_FB_temporal_stability_scatter.png;006_GK_calibration_curve.png;006_GK_leave_one_competition_drift.png;006_GK_leave_one_season_drift.png;006_GK_match_score_history.png;006_GK_minutes_threshold_sensitivity.png;006_GK_population_drift_heatmap.png;006_GK_production_gate_summary.png;006_GK_rank_volatility.png;006_GK_rolling_stability.png;006_GK_team_context_sensitivity.png;006_GK_temporal_stability_scatter.png;006_MID_calibration_curve.png;006_MID_leave_one_competition_drift.png;006_MID_leave_one_season_drift.png;006_MID_match_score_history.png;006_MID_minutes_threshold_sensitivity.png;006_MID_population_drift_heatmap.png;006_MID_production_gate_summary.png;006_MID_rank_volatility.png;006_MID_rolling_stability.png;006_MID_team_context_sensitivity.png;006_MID_temporal_stability_scatter.png;006_WINGER_calibration_curve.png;006_WINGER_leave_one_competition_drift.png;006_WINGER_leave_one_season_drift.png;006_WINGER_match_score_history.png;006_WINGER_minutes_threshold_sensitivity.png;006_WINGER_population_drift_heatmap.png;006_WINGER_production_gate_summary.png;006_WINGER_rank_volatility.png;006_WINGER_rolling_stability.png;006_WINGER_team_context_sensitivity.png;006_WINGER_temporal_stability_scatter.png;006_global_confidence_vs_stability.png;006_global_population_drift_summary.png;006_global_production_candidate_gate.png;006_global_role_temporal_stability.png,completed_validation_gates_blocked_by_sample,false,true,Only one competition/season in local root; temporal/cross-competition gates cannot be satisfied.
007,Production Score Engine Framework,007_production_score_engine_framework.py,007_production_score_engine_framework.ipynb,007_production_score_engine_framework.json;007_production_score_engine_framework.md,007_production_readiness_dashboard.csv;007_research_gap_analysis.csv,,framework_ready_for_full_population_recalibration_not_deployment,false,true,Architecture/config framework exists but deployment requires full-population recalibration and gates.
008,Full-Population Recalibration Gate,008_full_population_recalibration.py,008_full_population_recalibration.ipynb,008_full_population_recalibration.json;008_full_population_recalibration.md;008_no_production_candidate_reason.md,008_blockers_by_role.csv;008_bootstrap_statistics.csv;008_candidate_metric_status.csv;008_data_readiness_gate.csv;008_dimension_validation.csv;008_dimension_weight_decisions.csv;008_dimension_weight_methods.csv;008_football_expert_review_queue.csv;008_full_population_dimension_scores.csv;008_full_population_inventory.csv;008_full_population_role_scores.csv;008_full_population_score_explanations.csv;008_latent_dimensions.csv;008_leave_one_competition_out.csv;008_leave_one_season_out.csv;008_metric_clusters.csv;008_metric_rejection_reasons.csv;008_metric_stability_by_role.csv;008_metric_statistics.csv;008_metric_weight_decisions.csv;008_metric_weight_methods.csv;008_minutes_threshold_recalibration.csv;008_normalization_decisions.csv;008_normalization_methods.csv;008_population_drift_summary.csv;008_production_candidate_gate.csv;008_production_readiness_dashboard.csv;008_rank_stability.csv;008_reliability_summary.csv;008_role_benchmarks.csv;008_role_eligibility_summary.csv;008_role_resolution.csv;008_score_calibration_curves.csv;008_score_confidence.csv;008_team_context_sensitivity.csv;008_weight_confidence_intervals.csv,008_CB_calibration_curve.png;008_CB_confidence_distribution.png;008_CB_cross_competition_drift.png;008_CB_dimension_weights.png;008_CB_metric_weights.png;008_CB_production_gate.png;008_CB_rank_stability.png;008_CB_score_distribution.png;008_CB_team_context_sensitivity.png;008_CB_temporal_validation.png;008_CF_calibration_curve.png;008_CF_confidence_distribution.png;008_CF_cross_competition_drift.png;008_CF_dimension_weights.png;008_CF_metric_weights.png;008_CF_production_gate.png;008_CF_rank_stability.png;008_CF_score_distribution.png;008_CF_team_context_sensitivity.png;008_CF_temporal_validation.png;008_FB_calibration_curve.png;008_FB_confidence_distribution.png;008_FB_cross_competition_drift.png;008_FB_dimension_weights.png;008_FB_metric_weights.png;008_FB_production_gate.png;008_FB_rank_stability.png;008_FB_score_distribution.png;008_FB_team_context_sensitivity.png;008_FB_temporal_validation.png;008_GK_calibration_curve.png;008_GK_confidence_distribution.png;008_GK_cross_competition_drift.png;008_GK_dimension_weights.png;008_GK_metric_weights.png;008_GK_production_gate.png;008_GK_rank_stability.png;008_GK_score_distribution.png;008_GK_team_context_sensitivity.png;008_GK_temporal_validation.png;008_MID_calibration_curve.png;008_MID_confidence_distribution.png;008_MID_cross_competition_drift.png;008_MID_dimension_weights.png;008_MID_metric_weights.png;008_MID_production_gate.png;008_MID_rank_stability.png;008_MID_score_distribution.png;008_MID_team_context_sensitivity.png;008_MID_temporal_validation.png;008_WINGER_calibration_curve.png;008_WINGER_confidence_distribution.png;008_WINGER_cross_competition_drift.png;008_WINGER_dimension_weights.png;008_WINGER_metric_weights.png;008_WINGER_production_gate.png;008_WINGER_rank_stability.png;008_WINGER_score_distribution.png;008_WINGER_team_context_sensitivity.png;008_WINGER_temporal_validation.png;008_global_blockers_by_role.png;008_global_data_coverage_summary.png;008_global_production_readiness_dashboard.png;008_global_role_confidence_comparison.png;008_global_validation_gate_summary.png,blocked_no_full_population_no_bundle,false,true,Full population unavailable; no production candidate bundle generated.
009,Full DataPlatform Reload Orchestration,009_full_data_reload_orchestration.py,009_full_data_reload_orchestration.ipynb,009_full_data_reload_orchestration.json;009_full_data_reload_orchestration.md;009_full_data_reload_plan.md;009_full_population_data_contract.json;009_full_population_data_contract.md;009_pipeline_failure_reason.md;009_rerun_pipeline_manifest.json,009_data_quality_issues.csv;009_data_readiness_gate.csv;009_data_root_discovery.csv;009_id_consistency_audit.csv;009_missing_data_gap_analysis.csv;009_reload_tasks.csv;009_rerun_pipeline_status.csv,009_competition_season_coverage.png;009_data_coverage_summary.png;009_data_readiness_gate.png;009_dataset_row_counts.png;009_missing_data_gap_summary.png;009_reload_task_priority.png;009_rerun_pipeline_status.png,blocked_target_full_root_not_ready,false,false,Full target warehouse incomplete/empty; rerun pipeline blocked.
010,DataPlatform StatsBomb Coverage Reload,010_dataplatform_statsbomb_reload.py,010_dataplatform_statsbomb_reload.ipynb,010_dataplatform_statsbomb_reload.json;010_dataplatform_statsbomb_reload.md;010_dry_run_reload_summary.md;010_experiment_009_validation_result.md,010_dry_run_reload_plan.csv;010_duplicate_records.csv;010_experiment_009_gate_result.csv;010_id_consistency_validation.csv;010_loaded_dataset_manifest.csv;010_loaded_dataset_quality.csv;010_orphan_records.csv;010_source_discovery.csv;010_source_to_target_mapping.csv;010_target_coverage_summary.csv;010_target_readiness_gate.csv,010_dry_run_coverage_projection.png;010_id_consistency_status.png;010_loaded_dataset_row_counts.png;010_source_discovery_summary.png;010_source_to_target_mapping_status.png;010_target_coverage_vs_required.png;010_target_readiness_gate.png,blocked_incomplete_target_source_mapping,false,false,DataPlatform source mapping insufficient for full target root.
