role,criterion,status,readiness_classification,notes
GK,data_quality,PASS,Prototype,local sample; production readiness requires full population and football review
GK,weight_stability,PASS,Prototype,local sample; production readiness requires full population and football review
GK,bootstrap_stability,WARN,Prototype,local sample; production readiness requires full population and football review
GK,rank_stability,WARN,Prototype,local sample; production readiness requires full population and football review
GK,role_calibration,PASS,Prototype,local sample; production readiness requires full population and football review
GK,football_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
GK,cross_season_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
GK,cross_league_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
CB,data_quality,WARN,Prototype,local sample; production readiness requires full population and football review
CB,weight_stability,WARN,Prototype,local sample; production readiness requires full population and football review
CB,bootstrap_stability,WARN,Prototype,local sample; production readiness requires full population and football review
CB,rank_stability,WARN,Prototype,local sample; production readiness requires full population and football review
CB,role_calibration,PASS,Prototype,local sample; production readiness requires full population and football review
CB,football_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
CB,cross_season_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
CB,cross_league_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
FB,data_quality,WARN,Prototype,local sample; production readiness requires full population and football review
FB,weight_stability,WARN,Prototype,local sample; production readiness requires full population and football review
FB,bootstrap_stability,WARN,Prototype,local sample; production readiness requires full population and football review
FB,rank_stability,WARN,Prototype,local sample; production readiness requires full population and football review
FB,role_calibration,PASS,Prototype,local sample; production readiness requires full population and football review
FB,football_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
FB,cross_season_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
FB,cross_league_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
MID,data_quality,WARN,Prototype,local sample; production readiness requires full population and football review
MID,weight_stability,PASS,Prototype,local sample; production readiness requires full population and football review
MID,bootstrap_stability,WARN,Prototype,local sample; production readiness requires full population and football review
MID,rank_stability,WARN,Prototype,local sample; production readiness requires full population and football review
MID,role_calibration,PASS,Prototype,local sample; production readiness requires full population and football review
MID,football_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
MID,cross_season_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
MID,cross_league_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
WINGER,data_quality,WARN,Prototype,local sample; production readiness requires full population and football review
WINGER,weight_stability,WARN,Prototype,local sample; production readiness requires full population and football review
WINGER,bootstrap_stability,WARN,Prototype,local sample; production readiness requires full population and football review
WINGER,rank_stability,WARN,Prototype,local sample; production readiness requires full population and football review
WINGER,role_calibration,PASS,Prototype,local sample; production readiness requires full population and football review
WINGER,football_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
WINGER,cross_season_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
WINGER,cross_league_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
CF,data_quality,WARN,Prototype,local sample; production readiness requires full population and football review
CF,weight_stability,WARN,Prototype,local sample; production readiness requires full population and football review
CF,bootstrap_stability,WARN,Prototype,local sample; production readiness requires full population and football review
CF,rank_stability,WARN,Prototype,local sample; production readiness requires full population and football review
CF,role_calibration,PASS,Prototype,local sample; production readiness requires full population and football review
CF,football_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
CF,cross_season_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
CF,cross_league_validation,PENDING,Prototype,local sample; production readiness requires full population and football review
